Freq.	abs(V(drain))
1.01595382657707e+07	4.72007582209159e+01,0.00000000000000e+00
1.01600140289055e+07	4.72003331392081e+01,0.00000000000000e+00
1.01604898143199e+07	4.71999080231680e+01,0.00000000000000e+00
1.01609656220149e+07	4.71994828727929e+01,0.00000000000000e+00
1.01614414519917e+07	4.71990576880796e+01,0.00000000000000e+00
1.01619173042512e+07	4.71986324690254e+01,0.00000000000000e+00
1.01623931787945e+07	4.71982072156273e+01,0.00000000000000e+00
1.01628690756226e+07	4.71977819278825e+01,0.00000000000000e+00
1.01633449947366e+07	4.71973566057880e+01,0.00000000000000e+00
1.01638209361375e+07	4.71969312493412e+01,0.00000000000000e+00
1.01642968998263e+07	4.71965058585387e+01,0.00000000000000e+00
1.01647728858042e+07	4.71960804333780e+01,0.00000000000000e+00
1.01652488940721e+07	4.71956549738560e+01,0.00000000000000e+00
1.01657249246311e+07	4.71952294799695e+01,0.00000000000000e+00
1.01662009774822e+07	4.71948039517164e+01,0.00000000000000e+00
1.01666770526265e+07	4.71943783890931e+01,0.00000000000000e+00
1.01671531500650e+07	4.71939527920971e+01,0.00000000000000e+00
1.01676292697988e+07	4.71935271607253e+01,0.00000000000000e+00
1.01681054118289e+07	4.71931014949747e+01,0.00000000000000e+00
1.01685815761564e+07	4.71926757948426e+01,0.00000000000000e+00
1.01690577627822e+07	4.71922500603260e+01,0.00000000000000e+00
1.01695339717075e+07	4.71918242914221e+01,0.00000000000000e+00
1.01700102029333e+07	4.71913984881278e+01,0.00000000000000e+00
1.01704864564606e+07	4.71909726504405e+01,0.00000000000000e+00
1.01709627322905e+07	4.71905467783570e+01,0.00000000000000e+00
1.01714390304240e+07	4.71901208718746e+01,0.00000000000000e+00
1.01719153508622e+07	4.71896949309901e+01,0.00000000000000e+00
1.01723916936061e+07	4.71892689557010e+01,0.00000000000000e+00
1.01728680586567e+07	4.71888429460041e+01,0.00000000000000e+00
1.01733444460152e+07	4.71884169018967e+01,0.00000000000000e+00
1.01738208556825e+07	4.71879908233755e+01,0.00000000000000e+00
1.01742972876596e+07	4.71875647104380e+01,0.00000000000000e+00
1.01747737419477e+07	4.71871385630814e+01,0.00000000000000e+00
1.01752502185478e+07	4.71867123813024e+01,0.00000000000000e+00
1.01757267174609e+07	4.71862861650983e+01,0.00000000000000e+00
1.01762032386881e+07	4.71858599144663e+01,0.00000000000000e+00
1.01766797822304e+07	4.71854336294032e+01,0.00000000000000e+00
1.01771563480888e+07	4.71850073099064e+01,0.00000000000000e+00
1.01776329362644e+07	4.71845809559727e+01,0.00000000000000e+00
1.01781095467583e+07	4.71841545675993e+01,0.00000000000000e+00
1.01785861795715e+07	4.71837281447835e+01,0.00000000000000e+00
1.01790628347050e+07	4.71833016875222e+01,0.00000000000000e+00
1.01795395121599e+07	4.71828751958124e+01,0.00000000000000e+00
1.01800162119372e+07	4.71824486696514e+01,0.00000000000000e+00
1.01804929340380e+07	4.71820221090362e+01,0.00000000000000e+00
1.01809696784633e+07	4.71815955139640e+01,0.00000000000000e+00
1.01814464452142e+07	4.71811688844317e+01,0.00000000000000e+00
1.01819232342917e+07	4.71807422204367e+01,0.00000000000000e+00
1.01824000456969e+07	4.71803155219758e+01,0.00000000000000e+00
1.01828768794307e+07	4.71798887890459e+01,0.00000000000000e+00
1.01833537354943e+07	4.71794620216446e+01,0.00000000000000e+00
1.01838306138887e+07	4.71790352197687e+01,0.00000000000000e+00
1.01843075146149e+07	4.71786083834155e+01,0.00000000000000e+00
1.01847844376740e+07	4.71781815125818e+01,0.00000000000000e+00
1.01852613830671e+07	4.71777546072650e+01,0.00000000000000e+00
1.01857383507951e+07	4.71773276674619e+01,0.00000000000000e+00
1.01862153408591e+07	4.71769006931699e+01,0.00000000000000e+00
1.01866923532602e+07	4.71764736843857e+01,0.00000000000000e+00
1.01871693879994e+07	4.71760466411068e+01,0.00000000000000e+00
1.01876464450778e+07	4.71756195633300e+01,0.00000000000000e+00
1.01881235244964e+07	4.71751924510525e+01,0.00000000000000e+00
1.01886006262562e+07	4.71747653042714e+01,0.00000000000000e+00
1.01890777503583e+07	4.71743381229838e+01,0.00000000000000e+00
1.01895548968038e+07	4.71739109071868e+01,0.00000000000000e+00
1.01900320655936e+07	4.71734836568774e+01,0.00000000000000e+00
1.01905092567289e+07	4.71730563720529e+01,0.00000000000000e+00
1.01909864702107e+07	4.71726290527098e+01,0.00000000000000e+00
1.01914637060400e+07	4.71722016988462e+01,0.00000000000000e+00
1.01919409642179e+07	4.71717743104582e+01,0.00000000000000e+00
1.01924182447454e+07	4.71713468875434e+01,0.00000000000000e+00
1.01928955476236e+07	4.71709194300990e+01,0.00000000000000e+00
1.01933728728535e+07	4.71704919381219e+01,0.00000000000000e+00
1.01938502204361e+07	4.71700644116088e+01,0.00000000000000e+00
1.01943275903726e+07	4.71696368505576e+01,0.00000000000000e+00
1.01948049826639e+07	4.71692092549646e+01,0.00000000000000e+00
1.01952823973112e+07	4.71687816248276e+01,0.00000000000000e+00
1.01957598343153e+07	4.71683539601432e+01,0.00000000000000e+00
1.01962372936775e+07	4.71679262609086e+01,0.00000000000000e+00
1.01967147753987e+07	4.71674985271209e+01,0.00000000000000e+00
1.01971922794800e+07	4.71670707587772e+01,0.00000000000000e+00
1.01976698059225e+07	4.71666429558748e+01,0.00000000000000e+00
1.01981473547271e+07	4.71662151184102e+01,0.00000000000000e+00
1.01986249258950e+07	4.71657872463813e+01,0.00000000000000e+00
1.01991025194271e+07	4.71653593397844e+01,0.00000000000000e+00
