Freq.	abs(V(drain))
1.00445858066107e+07	1.05764180162206e+01,0.00000000000000e+00
1.00450561866129e+07	1.05770942294819e+01,0.00000000000000e+00
1.00455265886425e+07	1.05777705052321e+01,0.00000000000000e+00
1.00459970127007e+07	1.05784468434800e+01,0.00000000000000e+00
1.00464674587885e+07	1.05791232442343e+01,0.00000000000000e+00
1.00469379269069e+07	1.05797997075031e+01,0.00000000000000e+00
1.00474084170569e+07	1.05804762332959e+01,0.00000000000000e+00
1.00478789292397e+07	1.05811528216208e+01,0.00000000000000e+00
1.00483494634561e+07	1.05818294724867e+01,0.00000000000000e+00
1.00488200197073e+07	1.05825061859021e+01,0.00000000000000e+00
1.00492905979943e+07	1.05831829618757e+01,0.00000000000000e+00
1.00497611983181e+07	1.05838598004163e+01,0.00000000000000e+00
1.00502318206797e+07	1.05845367015323e+01,0.00000000000000e+00
1.00507024650802e+07	1.05852136652325e+01,0.00000000000000e+00
1.00511731315206e+07	1.05858906915257e+01,0.00000000000000e+00
1.00516438200019e+07	1.05865677804204e+01,0.00000000000000e+00
1.00521145305252e+07	1.05872449319255e+01,0.00000000000000e+00
1.00525852630915e+07	1.05879221460494e+01,0.00000000000000e+00
1.00530560177019e+07	1.05885994228008e+01,0.00000000000000e+00
1.00535267943573e+07	1.05892767621884e+01,0.00000000000000e+00
1.00539975930588e+07	1.05899541642213e+01,0.00000000000000e+00
1.00544684138074e+07	1.05906316289076e+01,0.00000000000000e+00
1.00549392566042e+07	1.05913091562562e+01,0.00000000000000e+00
1.00554101214502e+07	1.05919867462758e+01,0.00000000000000e+00
1.00558810083464e+07	1.05926643989750e+01,0.00000000000000e+00
1.00563519172939e+07	1.05933421143627e+01,0.00000000000000e+00
1.00568228482936e+07	1.05940198924473e+01,0.00000000000000e+00
1.00572938013467e+07	1.05946977332377e+01,0.00000000000000e+00
1.00577647764542e+07	1.05953756367426e+01,0.00000000000000e+00
1.00582357736170e+07	1.05960536029706e+01,0.00000000000000e+00
1.00587067928363e+07	1.05967316319303e+01,0.00000000000000e+00
1.00591778341130e+07	1.05974097236306e+01,0.00000000000000e+00
1.00596488974483e+07	1.05980878780801e+01,0.00000000000000e+00
1.00601199828430e+07	1.05987660952875e+01,0.00000000000000e+00
1.00605910902983e+07	1.05994443752614e+01,0.00000000000000e+00
1.00610622198152e+07	1.06001227180107e+01,0.00000000000000e+00
1.00615333713947e+07	1.06008011235440e+01,0.00000000000000e+00
1.00620045450379e+07	1.06014795918701e+01,0.00000000000000e+00
1.00624757407457e+07	1.06021581229976e+01,0.00000000000000e+00
1.00629469585193e+07	1.06028367169353e+01,0.00000000000000e+00
1.00634181983596e+07	1.06035153736916e+01,0.00000000000000e+00
1.00638894602678e+07	1.06041940932756e+01,0.00000000000000e+00
1.00643607442447e+07	1.06048728756959e+01,0.00000000000000e+00
1.00648320502915e+07	1.06055517209611e+01,0.00000000000000e+00
1.00653033784092e+07	1.06062306290802e+01,0.00000000000000e+00
1.00657747285988e+07	1.06069096000615e+01,0.00000000000000e+00
1.00662461008614e+07	1.06075886339140e+01,0.00000000000000e+00
1.00667174951979e+07	1.06082677306464e+01,0.00000000000000e+00
1.00671889116095e+07	1.06089468902673e+01,0.00000000000000e+00
1.00676603500971e+07	1.06096261127857e+01,0.00000000000000e+00
1.00681318106619e+07	1.06103053982099e+01,0.00000000000000e+00
1.00686032933047e+07	1.06109847465490e+01,0.00000000000000e+00
1.00690747980267e+07	1.06116641578115e+01,0.00000000000000e+00
1.00695463248289e+07	1.06123436320063e+01,0.00000000000000e+00
1.00700178737124e+07	1.06130231691421e+01,0.00000000000000e+00
1.00704894446781e+07	1.06137027692275e+01,0.00000000000000e+00
1.00709610377270e+07	1.06143824322714e+01,0.00000000000000e+00
1.00714326528604e+07	1.06150621582822e+01,0.00000000000000e+00
1.00719042900790e+07	1.06157419472692e+01,0.00000000000000e+00
1.00723759493841e+07	1.06164217992408e+01,0.00000000000000e+00
1.00728476307766e+07	1.06171017142058e+01,0.00000000000000e+00
1.00733193342576e+07	1.06177816921728e+01,0.00000000000000e+00
1.00737910598281e+07	1.06184617331506e+01,0.00000000000000e+00
1.00742628074891e+07	1.06191418371482e+01,0.00000000000000e+00
1.00747345772417e+07	1.06198220041741e+01,0.00000000000000e+00
1.00752063690869e+07	1.06205022342371e+01,0.00000000000000e+00
1.00756781830257e+07	1.06211825273461e+01,0.00000000000000e+00
1.00761500190592e+07	1.06218628835096e+01,0.00000000000000e+00
1.00766218771884e+07	1.06225433027363e+01,0.00000000000000e+00
1.00770937574143e+07	1.06232237850355e+01,0.00000000000000e+00
1.00775656597381e+07	1.06239043304153e+01,0.00000000000000e+00
1.00780375841606e+07	1.06245849388849e+01,0.00000000000000e+00
1.00785095306830e+07	1.06252656104530e+01,0.00000000000000e+00
1.00789814993063e+07	1.06259463451281e+01,0.00000000000000e+00
1.00794534900314e+07	1.06266271429192e+01,0.00000000000000e+00
1.00799255028596e+07	1.06273080038350e+01,0.00000000000000e+00
1.00803975377917e+07	1.06279889278843e+01,0.00000000000000e+00
1.00808695948288e+07	1.06286699150757e+01,0.00000000000000e+00
1.00813416739720e+07	1.06293509654183e+01,0.00000000000000e+00
1.00818137752223e+07	1.06300320789206e+01,0.00000000000000e+00
1.00822858985808e+07	1.06307132555913e+01,0.00000000000000e+00
1.00827580440484e+07	1.06313944954397e+01,0.00000000000000e+00
1.00832302116261e+07	1.06320757984739e+01,0.00000000000000e+00
1.00837024013152e+07	1.06327571647031e+01,0.00000000000000e+00
1.00841746131164e+07	1.06334385941359e+01,0.00000000000000e+00
1.00846468470310e+07	1.06341200867813e+01,0.00000000000000e+00
1.00851191030600e+07	1.06348016426478e+01,0.00000000000000e+00
1.00855913812043e+07	1.06354832617444e+01,0.00000000000000e+00
1.00860636814650e+07	1.06361649440798e+01,0.00000000000000e+00
1.00865360038432e+07	1.06368466896628e+01,0.00000000000000e+00
1.00870083483398e+07	1.06375284985022e+01,0.00000000000000e+00
1.00874807149560e+07	1.06382103706067e+01,0.00000000000000e+00
1.00879531036927e+07	1.06388923059853e+01,0.00000000000000e+00
1.00884255145510e+07	1.06395743046465e+01,0.00000000000000e+00
1.00888979475320e+07	1.06402563665994e+01,0.00000000000000e+00
1.00893704026366e+07	1.06409384918526e+01,0.00000000000000e+00
1.00898428798659e+07	1.06416206804149e+01,0.00000000000000e+00
1.00903153792209e+07	1.06423029322952e+01,0.00000000000000e+00
1.00907879007027e+07	1.06429852475023e+01,0.00000000000000e+00
1.00912604443123e+07	1.06436676260449e+01,0.00000000000000e+00
1.00917330100508e+07	1.06443500679320e+01,0.00000000000000e+00
1.00922055979191e+07	1.06450325731723e+01,0.00000000000000e+00
1.00926782079184e+07	1.06457151417744e+01,0.00000000000000e+00
1.00931508400496e+07	1.06463977737474e+01,0.00000000000000e+00
1.00936234943138e+07	1.06470804691001e+01,0.00000000000000e+00
1.00940961707120e+07	1.06477632278411e+01,0.00000000000000e+00
1.00945688692453e+07	1.06484460499794e+01,0.00000000000000e+00
